deviceId;deviceName;Dictionary;Load;Count;Sort;Seed;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{11, 14, 7};1.68688;15.8664;100000;37.5026;3.34886;37.8614;0.000672623;16259192;{1,107,1017,};3;9337040;7020560;12;12;12;2307384;2307384;2307384;2316444;2307384;4536;4524;165, 5380.04, 1, ;512.752;3;170.917;{165, 575664, 1017, };575664;0;192.377;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{12, 7, 13};1.62576;15.087;100000;2.41328;2.764;2.43946;0.000672623;9356368;{1,166,3001,};3;2434216;101392;12;12;12;2307384;2307384;2307384;2332788;2307384;12708;12696;430, 372.608, 171.464, ;182.085;3;60.6951;{430, 61853, 514563, };514563;0;2.27091;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{14, 8, 10};1.67971;15.1888;100000;5.77357;2.94966;5.66803;0.000672623;9854368;{1,407,17394,};3;2932216;482320;12;12;12;2307384;2307384;2307384;2449860;2307384;71244;71232;1952, 496.41, 21.4358, ;32.4034;3;10.8011;{1952, 202039, 372855, };372855;0;1.1647;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{10, 9, 13};2.40582;15.5045;100000;15.2105;2.96422;15.2611;0.000672623;9401680;{1,70,3001,};3;2479528;147472;12;12;12;2307384;2307384;2307384;2332020;2307384;12324;12312;65, 888.829, 171.464, ;187.775;3;62.5918;{65, 62218, 514563, };514563;0;2.70934;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 2, 15};1.76624;15.7196;100000;8.10013;2.90224;8.27517;0.000672623;9386432;{1,631,1320,};3;2464280;141184;12;12;12;2307384;2307384;2307384;2323060;2307384;7844;7832;3722, 32.3059, 418.742, ;295.515;3;98.5051;{3722, 20385, 552739, };552739;0;5.98394;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{16, 5, 11};1.92656;16.0002;100000;32.3323;3.57667;31.7788;0.000672623;9693816;{1,945,9187,};3;2771664;383120;12;12;12;2307384;2307384;2307384;2388508;2307384;40568;40556;16696, 130.692, 47.5287, ;56.9275;3;18.9758;{16696, 123504, 436646, };436646;0;1.10144;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{16, 4, 12};1.73469;15.9759;100000;31.8613;2.96998;31.7292;0.000672623;9600464;{1,945,5078,};3;2678312;322640;12;12;12;2307384;2307384;2307384;2355636;2307384;24132;24120;16696, 88.2783, 93.8809, ;95.758;3;31.9193;{16696, 83423, 476727, };476727;0;1.5095;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{6, 16, 10};1.91424;16.5121;100000;99.485;2.95818;99.6385;0.000672623;17757928;{1,32,17394,};3;10835776;8388880;12;12;12;2307384;2307384;2307384;2446860;2307384;69744;69732;0, 6374.72, 21.4358, ;33.1007;3;11.0336;{0, 203991, 372855, };372855;0;29.5332;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{5, 16, 11};1.68208;16.379;100000;66.7639;3.11792;66.9787;0.000672623;15857080;{1,25,9187,};3;8934928;6553744;12;12;12;2307384;2307384;2307384;2381148;2307384;36888;36876;0, 5608, 47.5287, ;62.6122;3;20.8707;{0, 140200, 436646, };436646;0;1.23322;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{16, 11, 5};1.70394;16.1902;100000;31.5934;3.00742;31.9588;0.000672623;17241304;{1,945,63,};3;10319152;8003600;12;12;12;2307384;2307384;2307384;2315516;2307384;4072;4060;16696, 592.685, 1, ;571.701;3;190.567;{16696, 560087, 63, };560087;0;10.6733;
